Course,Course_link,Credential,Length,Area of Interest,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams,TOEFL
Academic and Career Entrance (John Howard Society),https://www.algonquincollege.com/access/program/ace-jhs/,College Certificate,Full-time\nOn Campus\n24 Weeks,General,6,105,53,60,169,80
Academic and Career Entrance (Ottawa),https://www.algonquincollege.com/access/program/woodroffe/,College Certificate,Full-time\nOn Campus\n24 Weeks,General,6,105,53,60,169,80
Academic and Career Entrance (Pembroke),https://www.algonquincollege.com/access/program/ace-pembroke/,College Certificate,Full-time\nOn Campus\n24 Weeks,General,6,105,53,60,169,80
Academic Pathway for Movement from Ontario College Diploma in Practical Nursing to BScN,https://www.algonquincollege.com/healthandcommunity/program/academic-pathway-for-movement-from-ontario-college-diploma-in-practical-nursing-to-bscn/,College Certificate,Full-time\nOn Campus\n12 Weeks,Health Sciences,6,105,53,60,169,80
Accounting and Financial Practice,https://www.algonquincollege.com/business/program/accounting-and-financial-practice/,Ontario College Graduate Certificate,Full-time\nOn Campus\n42 Weeks,Business,6.5,115,60,70,176,88
Accounting,https://www.algonquincollege.com/online/program-info/accounting-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Action Sports Parks Development,https://www.algonquincollege.com/pembroke/program/action-sports-park-development/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Addictions and Mental Health,https://www.algonquincollege.com/online/program-info/addictions-and-mental-health/,Ontario College Graduate Certificate,Full-time\nOnline,Community and Social Services,6.5,115,60,70,176,88
Addictions and Mental Health,https://www.algonquincollege.com/online/program-info/addictions-and-mental-health-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Community and Social Services,6.5,115,60,70,176,88
Advanced Care Paramedic,https://www.algonquincollege.com/ppsi/program/advanced-care-paramedic/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Public Safety and Legal Studies,6.5,115,60,70,176,88
Advertising and Marketing Communications Management,https://www.algonquincollege.com/mediaanddesign/program/advertising/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Media and Communications,6,105,53,60,169,80
Aircraft Maintenance Technician,https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Transportation,6,105,53,60,169,80
Animation,https://www.algonquincollege.com/mediaanddesign/program/animation/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Arts and Design,6,105,53,60,169,80
Applied Management,https://www.algonquincollege.com/online/program-info/applied-management-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Applied Museum Studies,https://www.algonquincollege.com/mediaanddesign/program/applied-museum-studies/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Arts and Design,6,105,53,60,169,80
Applied Nuclear Science and Radiation Safety (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/applied-nuclear-science-radiation-safety/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Environmental and Applied Sciences,6,105,53,60,169,80
Architectural Technician (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/architectural-technician/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6,105,53,60,169,80
Architectural Technician (Weekend) (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/architectural-technician-weekend/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6,105,53,60,169,80
Architectural Technology (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/architectural-technology/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Construction and Skilled Trades,6,105,53,60,169,80
Artificial Intelligence Software Development (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/artificial-intelligence-software-development/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Advanced Technology,6.5,115,60,70,176,88
Autism and Behavioural Science,https://www.algonquincollege.com/online/program-info/autism-and-behavioural-science/,Ontario College Graduate Certificate,Full-time\nOnline,Community and Social Services,6.5,115,60,70,176,88
Autism and Behavioural Science,https://www.algonquincollege.com/online/program-info/autism-and-behavioural-science-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Community and Social Services,6.5,115,60,70,176,88
Autism Studies,https://www.algonquincollege.com/online/program-info/autism-studies-part-time/,College-approved Certificate,Part-time\nOnline,Community and Social Services,6,105,53,60,169,80
