Student ID,High School GPA,TOEFL,IELTS Academic,PTE,Duolingo,Cambridge,Study Gap,Number of Backlog,Course,College Name,Chance of Acceptance
1,3.9,100,7,52,120,176,0,0,Computer Science,St. Clair College,90%
2,3.5,83,6.5,59,105,169,0,0,Business Administration,St. Clair College,80%
3,3,78,6,51,100,169,0,0,Nursing,St. Clair College,70%
4,2.5,75,5.5,41,95,169,1,2,Engineering,St. Clair College,60%
5,2,60,5,31,90,169,2,3,Arts and Sciences,St. Clair College,50%
6,3.8,95,6.8,54,115,178,0,0,Software Engineering,St. Clair College,85%
7,3.6,80,6.3,57,110,174,0,0,Culinary Arts,St. Clair College,75%
8,3.4,75,6,51,105,171,0,0,Paramedicine,St. Clair College,65%
9,3.2,70,5.7,45,100,168,0,0,Early Childhood Education,St. Clair College,55%
10,3,65,5.4,40,95,165,0,0,Social Work,St. Clair College,45%
11,3.9,100,7,52,120,176,0,0,Computer Science,Algonquin College,90%
12,3.5,83,6.5,59,110,169,0,0,Business Administration,Algonquin College,80%
13,3,78,6,51,105,169,0,0,Nursing,Algonquin College,70%
14,2.5,75,5.5,41,95,169,1,2,Engineering,Algonquin College,60%
15,2,60,5,31,90,169,2,3,Arts and Sciences,Algonquin College,50%
16,3.8,95,6.8,54,115,178,0,0,Software Engineering,Algonquin College,85%
17,3.6,80,6.3,57,110,174,0,0,Culinary Arts,Algonquin College,75%
18,3.4,75,6,51,105,171,0,0,Paramedicine,Algonquin College,65%
19,3.2,70,5.7,45,100,168,0,0,Early Childhood Education,Algonquin College,55%
20,3,65,5.4,40,95,165,0,0,Social Work,Algonquin College,45%
21,3.8,92,6.6,53,112,177,0,0,Game Development,Algonquin College,82%
22,3.6,78,6.2,56,108,173,0,0,Fashion Design,Algonquin College,73%
23,3.4,73,5.8,50,103,170,0,0,Graphic Design,Algonquin College,63%
24,3.2,68,5.5,44,98,167,0,0,Interior Design,Algonquin College,53%
25,3,63,5.2,38,93,164,0,0,Web Development,Algonquin College,43%
26,3.8,100,7,60,125,176,0,0,Game Programming,George Brown College,80%
27,3.6,95,6.5,54,105,169,1,1,Interaction Design,George Brown College,70%
28,3.4,90,6,48,95,159,0,0,Mobile Application Development and Strategy (Postgraduate),George Brown College,60%
29,3.2,85,5.5,42,85,149,2,2,Wireless Networking (Postgraduate),George Brown College,50%
30,3,80,5,36,75,139,0,0,Art and Design Foundation,George Brown College,40%
31,2.8,75,4.5,30,65,129,3,3,Concept Art for Entertainment (Postgraduate),George Brown College,30%
32,2.6,70,4,24,55,119,0,0,Design Management (Postgraduate),George Brown College,20%
33,2.4,65,3.5,18,45,109,4,4,Digital Design – Game Design (Postgraduate),George Brown College,10%
34,2.2,60,3,12,35,99,0,0,Game Art,George Brown College,5%
35,2,55,5.5,6,25,89,5,5,Graphic Design,George Brown College,0%
36,3.8,100,7,60,110,169,0,0,Acting for Film and Digital Media,Niagara College,50%
