College name,Course name,Course name_link,Credential awarded,Duration,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams
niagara college,Acting for Film and Digital Media,https://niagaracollege.ca/0198,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Art and Design Foundation,https://niagaracollege.ca/0188,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Artisan Distilling,https://niagaracollege.ca/0783,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Autism and Behavioural Science,https://niagaracollege.ca/0192,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Baking and Pastry Arts,https://niagaracollege.ca/0458,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Beverage Business Management,https://niagaracollege.ca/0785,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Brewmaster and Brewery Operations Management,https://niagaracollege.ca/0780,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,"Broadcasting – Radio, Television and Film (Film Production)",https://niagaracollege.ca/0165,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,"Broadcasting – Radio, Television and Film (Radio & TV Presentation)",https://niagaracollege.ca/0163,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,"Broadcasting – Radio, Television and Film (Television Production)",https://niagaracollege.ca/0164,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Business,https://niagaracollege.ca/0470,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Business – Accounting,https://niagaracollege.ca/0473,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Business – International Business,https://niagaracollege.ca/0448,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Business – Sales and Marketing,https://niagaracollege.ca/0451,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Business Administration – Accounting,https://niagaracollege.ca/0497,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Business Administration – Accounting (Co-op),https://niagaracollege.ca/0498,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Business Administration – Human Resources (Co-op),https://niagaracollege.ca/0492,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Business Administration – International Business,https://niagaracollege.ca/0493,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Business Administration – Marketing (Co-op),https://niagaracollege.ca/0491,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Business Administration – Supply Chain and Operations Management (Co-op),https://niagaracollege.ca/0490,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Business Analytics,https://niagaracollege.ca/0496,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Carpentry and Renovation Technician (Co-op),https://niagaracollege.ca/0757,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Carpentry and Renovation Techniques,https://niagaracollege.ca/0753,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Civil Engineering Technician,https://niagaracollege.ca/0760,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Commercial Beekeeping,https://niagaracollege.ca/0770,Ontario College Graduate Certificate,3 Consecutive Terms,6.5,110,50,60,176
niagara college,Commercial Cannabis Production,https://niagaracollege.ca/0797,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Community Mental Health Multidiscipline,https://niagaracollege.ca/0964,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Community Pharmacy Assistant,https://niagaracollege.ca/0811,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Computer Engineering Technician,https://niagaracollege.ca/0717,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Computer Programming,https://niagaracollege.ca/0411,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Computer Programming and Analysis (Co-op),https://niagaracollege.ca/0414,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Computer Systems Technician – Network and Cloud Technologies,https://niagaracollege.ca/0474,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Construction Engineering Technology (Construction Management),https://niagaracollege.ca/0708,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Culinary Innovation and Food Technology (Co-op),https://niagaracollege.ca/0464,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Culinary Management (Co-op),https://niagaracollege.ca/0435,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Culinary Skills,https://niagaracollege.ca/0454,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Dental Assisting (Levels I and II),https://niagaracollege.ca/0101,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Dental Office Administration,https://niagaracollege.ca/0151,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Early Childhood Education,https://niagaracollege.ca/0102,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Ecosystem Restoration,https://niagaracollege.ca/2000,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Educational Assistance and Adult Supports,https://niagaracollege.ca/0103,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Electrical Engineering Technician,https://niagaracollege.ca/0709,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Electrical Engineering Technology (Co-op),https://niagaracollege.ca/0707,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Electrical Techniques,https://niagaracollege.ca/0758,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Electronics Engineering Technician,https://niagaracollege.ca/0710,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Electronics Engineering Technology (Co-op),https://niagaracollege.ca/0703,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Environmental Management and Assessment,https://niagaracollege.ca/0234,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Environmental Technician – Field and Laboratory (Co-op),https://niagaracollege.ca/0736,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Esthetician,https://niagaracollege.ca/0395,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Exercise Science for Health and Performance,https://niagaracollege.ca/0260,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Fitness and Health Promotion,https://niagaracollege.ca/0232,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Game Development,https://niagaracollege.ca/0441,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,General Arts and Science (Niagara-on-the-Lake),https://niagaracollege.ca/0805,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,General Arts and Science (Welland),https://niagaracollege.ca/0801,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Gerontology,https://niagaracollege.ca/0966,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Graphic Design,https://niagaracollege.ca/0177,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Greenhouse Technician,https://niagaracollege.ca/0777,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Greenhouse Technician (Co-op),https://niagaracollege.ca/0737,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Hairstyling,https://niagaracollege.ca/0397,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Honours Bachelor of Business Administration (Hospitality),https://niagaracollege.ca/6000,Baccalaureate Degree: Applied Area Of Study,4 Years,6.5,110,50,60,176
niagara college,Honours Bachelor of Business Administration (Human Resources),https://niagaracollege.ca/6003,Baccalaureate Degree: Applied Area Of Study,4 Years,6.5,110,50,60,176
niagara college,Horticultural Technician,https://niagaracollege.ca/0771,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Horticultural Technician (Co-op),https://niagaracollege.ca/0111,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Hospitality – Hotel and Restaurant Operations,https://niagaracollege.ca/0417,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Hospitality – Hotel and Restaurant Operations (Co-op),https://niagaracollege.ca/0415,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Hospitality and Tourism Management,https://niagaracollege.ca/0461,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Human Resources Management,https://niagaracollege.ca/0452,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Industrial Automation,https://niagaracollege.ca/0790,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,International Business Management,https://niagaracollege.ca/ibm,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Landscape Horticulture Techniques,https://niagaracollege.ca/0730,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Landscape Technician,https://niagaracollege.ca/0775,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Landscape Technician (Co-op),https://niagaracollege.ca/0735,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Mechanical Engineering Technician,https://niagaracollege.ca/0755,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Mechanical Engineering Technology (Co-op),https://niagaracollege.ca/0705,Ontario College Advanced Diploma,"3 Years, 8 Months",6.5,110,50,60,176
niagara college,Mechanical Techniques – General Machinist,https://niagaracollege.ca/0754,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Motive Power Technician – Automotive (Co-op),https://niagaracollege.ca/0740,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Nursing Leadership and Healthcare Management,https://niagaracollege.ca/0970,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Office Administration – Executive (Co-op),https://niagaracollege.ca/0481,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Office Administration – General,https://niagaracollege.ca/0431,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Office Administration – Health Services,https://niagaracollege.ca/0463,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Palliative Care – Multidiscipline,https://niagaracollege.ca/0962,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Personal Support Worker,https://niagaracollege.ca/0942,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Personal Support Worker (Alternate Delivery),https://niagaracollege.ca/0945,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Pharmacy Technician,https://niagaracollege.ca/0813,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Photography,https://niagaracollege.ca/0795,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Photonics Engineering Technician,https://niagaracollege.ca/0750,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Photonics Engineering Technology,https://niagaracollege.ca/0751,Ontario College Advanced Diploma,3 Years,6.5,110,50,60,176
niagara college,Police Foundations,https://niagaracollege.ca/0200,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Pre-Community Services,https://niagaracollege.ca/0819,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Pre-Health Sciences Pathway to Advanced Diplomas and Degrees,https://niagaracollege.ca/0851,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Pre-Health Sciences Pathway to Certificates and Diplomas,https://niagaracollege.ca/0850,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,"Protection, Security and Investigation – Customs Border Services",https://niagaracollege.ca/psicbs,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,"Protection, Security and Investigation – Private Security",https://niagaracollege.ca/0211,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Public Relations,https://niagaracollege.ca/0171,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Recreation Therapy,https://niagaracollege.ca/0178,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Recreation Therapy (Fast-Track Delivery),https://niagaracollege.ca/0184,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Renewable Energies Technician,https://niagaracollege.ca/0765,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Social Media Management,https://niagaracollege.ca/0478,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Sport Administration,https://niagaracollege.ca/0193,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Supply Chain Management,https://niagaracollege.ca/0476,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Teaching English as a Second Language,https://niagaracollege.ca/0305,Ontario College Graduate Certificate,1 Year,6.5,110,50,60,176
niagara college,Tourism Management – Business Development (Co-op),https://niagaracollege.ca/0428,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Welding Technician,https://niagaracollege.ca/0761,Ontario College Diploma,2 Years,6,105,46,60,169
niagara college,Welding Techniques,https://niagaracollege.ca/0756,Ontario College Certificate,1 Year,6,105,46,60,169
niagara college,Winery and Viticulture Technician,https://niagaracollege.ca/0738,Ontario College Diploma,2 Years,6,105,46,60,169
