College,Program name,Program name_link,Credential awarded,Duration,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams
george brown college,Applied A.I. Solutions Development (Postgraduate) (T431),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/applied-ai-solutions-development-program-postgraduate-t431?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Blockchain Development (T475),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/blockchain-development-program-t475?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Cloud Computing Technologies (Postgraduate) (T465),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/cloud-computing-technologies-program-postgraduate-t465?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Computer Programming and Analysis (T177),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/computer-programming-and-analysis-program-t177?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Computer Systems Technician (T141),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/computer-systems-technician-program-t141?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Computer Systems Technology (T147),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/computer-systems-technology-program-t147?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Cyber Security (Postgraduate) (T433),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/cyber-security-program-postgraduate-t433?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Game – Programming (T163),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/game-programming-program-t163?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Health Informatics (Postgraduate) (T402),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/health-informatics-program-postgraduate-t402?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/information-systems-business-analysis-program-with-experiential-learning-capstone-postgraduate-t405?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Mobile Application Development and Strategy (Postgraduate) (T440),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/mobile-application-development-and-strategy-program-postgraduate-t440?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Wireless Networking (Postgraduate) (T411),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/wireless-networking-program-postgraduate-t411?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Art and Design Foundation (G108),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/art-and-design-foundation-program-g108?year=2023,Ontario College Certificate,,6,105,54,60,169
